Div,Date,home_team,away_team,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Season,wknd_ornot,match_day,bet_pred,odds_actual_comp,concat,ht_rank,at_rank,rank_diff,Home_$,Draw_$,Away_$,Home_correct,Draw_correct,Away_correct,matchday_Monday,matchday_Saturday,matchday_Sunday,matchday_Thursday,matchday_Tuesday,matchday_Wednesday,ref_A Madley,ref_A Marriner,ref_A Moss,ref_A Taylor,ref_A Wiley,ref_B Knight,ref_C Foy,ref_C Kavanagh,ref_C Pawson,ref_D Coote,ref_D England,ref_D Gallagher,ref_G Poll,ref_G Scott,ref_H Webb,ref_I Williamson,ref_J Moss,ref_K Friend,ref_K Stroud,ref_L Mason,ref_L Probert,ref_M Atkinson,ref_M Clattenburg,ref_M Dean,ref_M Halsey,ref_M Jones,ref_M Oliver,ref_M Riley,ref_N Swarbrick,ref_O Langford,ref_P Bankes,ref_P Dowd,ref_P Tierney,ref_P Walton,ref_R Beeby,ref_R East,ref_R Jones,ref_R Madley,ref_R Styles,ref_S Attwell,ref_S Bennett,ref_S Hooper,ref_S Scott,ref_S Tanner,ref_T Robinson,ref_U Rennie,ref_l Mason
E0,2005-08-20,Man United,Aston Villa,1,0,2,0,0,D,P Dowd,18,3,12,3,13,21,11,7,2,1,0,0,1.22,5.5,13.0,2006,1,Saturday,Home,1,38584Man UnitedAston Villa,2,16,14,1.22,-1.0,-1.0,Y,N,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0,2005-08-20,Liverpool,Sunderland,1,0,2,1,0,H,B Knight,15,2,6,0,8,20,5,5,2,3,0,1,1.28,5.0,10.0,2006,1,Saturday,Home,1,38584LiverpoolSunderland,3,20,17,1.28,-1.0,-1.0,Y,N,N,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0,2005-08-20,Newcastle,West Ham,0,0,0,0,0,D,D Gallagher,14,6,6,1,9,11,10,2,1,1,0,1,1.61,3.6,5.5,2006,1,Saturday,Home,0,38584NewcastleWest Ham,7,9,2,-1.0,3.6,-1.0,N,Y,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0,2005-08-20,Charlton,Wigan,1,0,2,1,0,H,R Styles,21,4,10,0,10,11,4,4,0,1,0,0,1.8,3.4,4.33,2006,1,Saturday,Home,1,38584CharltonWigan,13,10,3,1.8,-1.0,-1.0,Y,N,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
E0,2005-08-20,Tottenham,Middlesbrough,2,0,2,0,0,D,M Atkinson,18,12,8,3,16,10,5,6,3,1,0,0,1.9,3.3,4.0,2006,1,Saturday,Home,1,38584TottenhamMiddlesbrough,5,14,9,1.9,-1.0,-1.0,Y,N,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0,2005-08-20,Birmingham,Man City,1,2,1,1,1,D,M Clattenburg,9,9,2,6,7,12,9,4,3,1,0,0,2.2,3.2,3.25,2006,1,Saturday,Home,0,38584BirminghamMan City,18,15,3,-1.0,-1.0,3.25,N,N,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0,2005-08-20,Blackburn,Fulham,2,1,2,1,0,H,H Webb,16,8,9,4,26,14,8,1,2,2,0,0,2.0,3.2,3.75,2006,1,Saturday,Home,1,38584BlackburnFulham,6,12,6,2.0,-1.0,-1.0,Y,N,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0,2005-08-20,West Brom,Portsmouth,2,1,2,1,0,H,M Riley,6,10,2,2,21,19,3,3,4,3,0,0,2.2,3.2,3.25,2006,1,Saturday,Home,1,38584West BromPortsmouth,19,17,2,2.2,-1.0,-1.0,Y,N,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0,2005-08-21,Bolton,Everton,0,1,1,0,0,D,A Wiley,16,3,6,1,10,13,8,3,0,1,0,0,2.1,3.2,3.5,2006,1,Sunday,Home,0,38585BoltonEverton,8,11,3,-1.0,-1.0,3.5,N,N,Y,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0,2005-08-21,Chelsea,Arsenal,1,0,2,0,0,D,G Poll,9,9,6,3,17,21,3,7,2,3,0,0,2.0,3.2,3.75,2006,1,Sunday,Home,1,38585ChelseaArsenal,1,4,3,2.0,-1.0,-1.0,Y,N,N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0,2005-08-23,Birmingham,Middlesbrough,0,3,1,0,2,A,P Dowd,14,8,8,3,14,15,2,2,0,1,0,0,2.5,3.2,2.75,2006,0,Tuesday,Home,0,38587BirminghamMiddlesbrough,18,14,4,-1.0,-1.0,2.75,N,N,Y,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0,2005-08-23,Portsmouth,Aston Villa,1,1,0,1,1,D,G Poll,20,7,11,3,12,10,13,4,3,1,0,1,2.5,3.2,2.75,2006,0,Tuesday,Home,0,38587PortsmouthAston Villa,17,16,1,-1.0,3.2,-1.0,N,Y,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0,2005-08-23,Sunderland,Man City,1,2,1,1,2,A,P Walton,15,12,10,7,10,10,5,3,1,2,0,0,2.75,3.2,2.5,2006,0,Tuesday,Away,1,38587SunderlandMan City,20,15,5,-1.0,-1.0,2.5,N,N,Y,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
E0,2005-08-24,Arsenal,Fulham,4,1,2,1,1,D,M Clattenburg,20,8,14,3,16,11,6,7,5,2,0,0,1.22,5.5,13.0,2006,0,Wednesday,Home,1,38588ArsenalFulham,4,12,8,1.22,-1.0,-1.0,Y,N,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
